Formulário de avaliação de aplicações de análise de vulnerabilidade,,,,,,,,,,,
2ª PESQUISA: /vulnerability code scan,,,,147,,,,,,,
SEQ,NOME,URL,LINGUAGEM,FORKS,WATCHING,ESTRELAS,LICENÇA,PUBLICAÇÃO,ALTERAÇÃO,BANCO DE DADOS,RESUMO
11,AviBuckman/Vulnerability-Checker,https://github.com/AviBuckman/Vulnerability-Checker,Python,0,4,0,BSD-3-Clause License,2020,2020,N/A,É um verificador de vulnerabilidades em python que escaneia os pacotes intalados em máquinas Linux e cria um banco de dados contendo metadados sobre os pacote
12,aws-samples/aws-codepipeline-docker-vulnerability-scan,https://github.com/aws-samples/aws-codepipeline-docker-vulnerability-scan,Dockefile,36,11,35,MIT-0 License,2018,2019,N/A,É uma template  Courd Formatin para fazer deploy do CoreOS Clair e Nginx no ECS Fargate e ECS Service.
13,beacon/code-uv,https://github.com/beacon/code-uv,N/A,-,-,-,-,-,-,-,Repositório possui o Readme e o arquivo gitignore na data da pesquisa
14,bfarhad/cloudsploit-ec2-terraform,https://github.com/bfarhad/cloudsploit-ec2-terraform,HCL,0,3,1,MIT License,2019,2020,N/A,É uma exemplo de POC para prover uma instância EC2 com NodJs e Clausploit instalados para escanear uma conta de nuvem por vulnerabilidades
15,bizonix/rips-scanner,https://github.com/bizonix/rips-scanner,PHP,6,3,6,N/A,2015,2015,N/A,RISP é um analisador de código estático para vulnerabilidades em PHP. Projeto foi abandonado e é usado como protótipo acadêmico
16,boloto1979/Code-Sentinel,https://github.com/boloto1979/Code-Sentinel,Python,0,1,5,MIT License,2023,2023,N/A,É uma ferramenta para identificação de padrões de vulnerabilidades em code fonte
17,bookworm52/EthicalHackingFromScratch,https://github.com/bookworm52/EthicalHackingFromScratch,N/A,-,-,-,-,-,-,-,"Repositório possui apenas o arquivo EthicalHacking,md na data da pesquisa, sem maiores detalhes"
18,brunocantisano/rpi-sonarqube,https://github.com/brunocantisano/rpi-sonarqube,Dockerfile,8,2,18,MIT License,2017,2022,N/A,É um Container docker que implementa um servidor Sonarqube para Raspberry Pi
19,chandinidas/Thunder-Scan-Security-Analysis-Services-In-India,https://github.com/chandinidas/Thunder-Scan-Security-Analysis-Services-In-India,N/A,-,-,-,-,-,-,-,Repositório vazio na data da pesquisa
20,Checkmarx/ast-eclipse-plugin,https://github.com/Checkmarx/ast-eclipse-plugin,Java,4,6,2,Apache-2.0 License,2021,2023,N/A,"É um plugin para o Eclipse do CheckMarx One, que habilita para buscar os resultados do escaneamento de vulnerabilitdades do Checkmarx One diretamente na IDE do Eclipse"
21,Checkmarx/ast-vscode-extension,https://github.com/Checkmarx/ast-vscode-extension,Hack,6,5,10,Apache-2.0 License,2021,2023,N/A,"É uma extensão para o VS Code do CheckMarx One, que habilita para buscar os resultados do escaneamento de vulnerabilitdades do Checkmarx One"
22,cintex/staronox-vulnerability-scanner,https://github.com/jasnnh/PHPPortVulnerabilityScanner,N/A,-,-,-,-,-,-,-,Repositório possui apenas o Readme
23,Code-dot-mil/crossfeed-agent,https://github.com/Code-dot-mil/crossfeed-agent,Go,4,2,8,MIT License,2019,2020,N/A,É uma ferramenta de monitoramento e verificação de vulnerabilidades para ativos
24,Code-dot-mil/crossfeed-web,https://github.com/Code-dot-mil/crossfeed-web,Javascript,6,5,12,MIT License,2019,2020,N/A,É uma ferramenta de monitoramento e verificação de vulnerabilidades para ativos
25,cons3rt/test-asset-fortify-simple,https://github.com/cons3rt/test-asset-fortify-simple,Shell Script,1,5,4,Bring your Own License,2016,2016,N/A,Eé uma ferramenta que pode ser usada para escanear o código fonte para más práticas e vulnerabilidades
26,cons3rt/test-asset-sonar-simple,https://github.com/cons3rt/test-asset-sonar-simple,Shell Script,0,7,0,N/A,2019,2019,N/A,"É um script simples do Sonar para uso no CONS3RT, para escanear código por práticas ruins e vulnerabilidades"
27,CptAlessio/sentinelscan,https://github.com/CptAlessio/sentinelscan,Python,0,1,0,N/A,2023,2023,N/A,É uma ferramenta de escaneamenteo de vulnerabilidades de código C# e .Net em qualquer repositório do Github
28,crxxtian/codepenguin-gpt-code-scanner,https://github.com/crxxtian/codepenguin-gpt-code-scanner,Python,0,1,0,N/A,2023,2023,ChatGPT,É um escaner de vulbnerablidade baseado em ChatGTP
29,cyberflakeconnect/wascan,https://github.com/cyberflakeconnect/wascan,Python,12,2,20,GPL-3.0 License,2018,2020,N/A,É uma ferramnta de escaneamento de vulnerabilidades em aplicações web
30,devaa-security/manifest-scanner,https://github.com/devaa-security/manifest-scanner,TypeScript,0,0,3,MIT License,2023,2023,N/A,É uma escaner de vulnerabilidade de código fonte para App Android
31,Dhoomralochana/Scanners-for-CVE-2020-0796-Testing,https://github.com/Dhoomralochana/Scanners-for-CVE-2020-0796-Testing,N/A,1,1,2,N/A,2020,2020,N/A,"Repositório possui apenas o arquivo Readme, com uma lista de vulnerabilidades do MS SMBv3"
32,dinorows/scansafe,https://github.com/dinorows/scansafe,Javascript,0,2,0,N/A,2017,2017,N/A,Escaneia pacotes de código fonte para potencias vulnerabilidades Javascript embutidas em arquivos Gulp como string ou expressões regulares;
33,Don-No7/Hack-SQL,https://github.com/Don-No7/Hack-SQL,N/A,7,3,28,N/A,2021,2021,N/A,É um script para criar e popular tabelas no BD mysql
34,DonRichards/CPS,https://github.com/DonRichards/CPS,N/A,-,-,-,-,-,-,-,Repositório possui apenas o Readme na data da pesquisa
35,DramstiHe/PyStrike,https://github.com/DramstiHe/PyStrike,N/A,-,-,-,-,-,-,-,Repositório possui apenas o Readme na data da pesquisa
36,driftingruby/062-security-and-static-code-analyzers,https://github.com/driftingruby/062-security-and-static-code-analyzers,Ruby,1,2,1,N/A,2016,2018,N/A,É uma ferramenta (Drifting Ruby) para escaneamento de segurança de código Ruby
37,Eldritch-HPL/Port-Scanner,https://github.com/Eldritch-HPL/Port-Scanner,Python,1,1,0,N/A,2022,2022,N/A,É um escaneador de porta para vulnerabilidades de segurança
38,eon01/NodeSS,https://github.com/eon01/NodeSS,N/A,1,4,22,MIT License,2016,2016,N/A,É uma ferramenta de escaneamento de código Nodejs para dependências e vulnerabilidades
39,erandakodagoda-ledd/terragoat,https://github.com/erandakodagoda-ledd/terragoat,HCL,0,0,1,Apache-2.0 License,2022,2022,N/A,È uma implmentação de escaneamento de vulnerabilidade Snyk de código em repositórios Terraform para Terra Goat 
40,Err0r-ICA/Nojle,https://github.com/Err0r-ICA/Nojle,Python,8,1,32,MIT License,2020,2020,N/A,É uma feramenta automatizada de pen testing e pesquisa forense
41,expelee-co/Smart-Contract-Audit,https://github.com/expelee-co/Smart-Contract-Audit,N/A,1,3,6,N/A,2022,2023,N/A,É uma ferramenta para revisão de código para equipes que estão se preparando para lançar aplicações Blockchain
42,Faouzijedidi1/CodeScanner,https://github.com/Faouzijedidi1/CodeScanner,N/A,0,2,0,N/A,2019,2019,N/A,É uma protótipo para módulo de desenvolvimento de software para  escaneamente de vulnerabilidade de código
43,feldeh/repo-vulnerability-scanner,https://github.com/feldeh/repo-vulnerability-scanner,Javascript,0,2,0,N/A,2023,2023,N/A,É uma ferramenta de linha de comando para verificar código fonte a partir do Github e analisar vulnerabilidades usando ChatGPT
44,feramin108/Secure-C,https://github.com/feramin108/Secure-C,C,0,2,0,GPL-3.0 License,2016,2016,N/A,"É coleção de scripts C para profissionais de segurança de rede, incluindo escaneamento de rede, avaliação de vulnerabilidades, análise de pacotes etc"
45,Frikallo/CVEScanner,https://github.com/Frikallo/CVEScanner,N/A,-,-,-,-,-,-,-,Repositório possui o Readme e o arquivo gitignore na data da pesquisa
46,FunnyShadow/BT-Nginx-Scanner,https://github.com/FunnyShadow/BT-Nginx-Scanner,Shell Script,2,1,8,GPL-3.0 License,2022,2022,N/A,É um escaner de execução de varredura de vulnerabilidade de código arbitrário no nginx
47,fvi-att/Kremlin,https://github.com/fvi-att/Kremlin,Python,0,1,0,GPL-3.0 License,2018,2018,N/A,É uma ferramenta de verificação de código e repositório para RedTeam
48,FxOz12/TestCodeScan_Java,https://github.com/FxOz12/TestCodeScan_Java,Java,0,1,0,N/A,2023,2023,N/A,É uma ferramenta para checar vulnerabilidade de código usando a ferramenta CodeQL
49,Gabriele098/Automated-Vulnerability-Scanner,https://github.com/Gabriele098/Automated-Vulnerability-Scanner,Python,0,1,2,N/A,2022,2022,N/A,É uma feramenta para análise de código fonte em Python e Kali Linux
50,gh0st27/Struts2Scanner,https://github.com/gh0st27/Struts2Scanner,Python,1,1,1,MIT License,2020,2021,CVE,"É um escaner de vulnerabilidades para execução remota de código (CVE-2020-17530, 2019-0230, 2018-11776, 2017-5638, 2017-9791)
"
51,gowtham-tamizharasan/vulnerability-scanner,https://github.com/gowtham-tamizharasan/vulnerability-scanner,N/A,-,-,-,-,-,-,-,Repositório possui apenas o Readme na data da pesquisa
52,gp47/xef-scan-ex01,https://github.com/gp47/xef-scan-ex01,HCL,0,1,0,MIT License,2023,2023,N/A,É um exemplo de código terrraform 
53,gp47/xef-scan-ex02,https://github.com/gp47/xef-scan-ex02,Smarty],0,1,0,MIT License,2023,2023,N/A,É uma example de código HELM para escaneamento xef
54,guzmanthetrader/Check-Up,https://github.com/guzmanthetrader/Check-Up,Java,0,1,0,N/A,2023,2023,N/A,"É uma ferramenta para pesquisar websites por XSS, SQL Injections, HTML Injection e porta abertas"
55,Hanzehogeschool-hbo-ict/codescanner,https://github.com/Hanzehogeschool-hbo-ict/codescanner,Typescript,0,2,0,MIT License,2022,2022,N/A,É um plugin do VS Code para escaneamento de bibliotecas
56,hasskod4rking777/test,https://github.com/hasskod4rking777/test,HTML,0,1,0,N/A,2022,2022,N/A,É um validador de escaneamento de vulnerabilidade de código
57,hfh86/CVE-2021-43530-UXSS-On-QRcode-Reader-,https://github.com/hfh86/CVE-2021-43530-UXSS-On-QRcode-Reader-,N/A,1,1,1,N/A,2022,2022,N/A,"É uma ferramenta para verificação da CVE-2021-43530 (XSS) do Firefox, quando proessa URL lida e QRCode"
58,hissy/php-code-scanner,https://github.com/hissy/php-code-scanner,PHP,0,2,3,MIT License,2017,2017,N/A,É um analisador de códifo estático para código PHP
59,hudacbr/webpwn3r,https://github.com/hudacbr/webpwn3r,Python,10,5,24,GPL-2.0 License,2018,2018,N/A,É uma ferramenta de de escaneament do aplicação web
60,huzaifazahoor/Vunerability-Scanner-Python-Code,https://github.com/huzaifazahoor/Vunerability-Scanner-Python-Code,Python,0,1,1,N/A,2020,2020,N/A,É um sescaner de vulnerabilidade para XSS em Python
61,ibenrodriguez/netvmscan,https://github.com/ibenrodriguez/netvmscan,N/A,-,-,-,-,-,-,-,Repositório possui apenas o Readme na data da pesquisa
62,ICSEng-Stage/CodeScanTest2,https://github.com/ICSEng-Stage/CodeScanTest2,Javascript,0,1,0,N/A,2016,2016,N/A,É um testador de código com o repositório público de nó vulnerável
63,jackgkafaty/CodeQL_containerizedApp,https://github.com/jackgkafaty/CodeQL_containerizedApp,Typescript,0,1,1,MIT License,2023,2023,N/A,É uma demonstração de uma implementação de como usar CodeQL para escanear aplicações coneinerizadas por vulnerabilidades
64,jasnnh/PHPPortVulnerabilityScanner,https://github.com/jasnnh/PHPPortVulnerabilityScanner,PHP,0,1,0,MIT License,2021,2021,N/A,É uma port sccanner feito em PHP
65,jasoncabot/devops-demo-code-scanning,https://github.com/jasoncabot/devops-demo-code-scanning,Javascript,1,2,0,MIT License,2020,2021,N/A,Projeto Nodejs para pesquisa de vulnerabilidades usando CodeQL
66,Jaxon1111/siem_the_nightowl,https://github.com/Jaxon1111/siem_the_nightowl,Python,0,1,0,N/A,2022,2022,CVE,"É um testarde SIEM que relata endereços IP e vulnerabiildades CVE, certificados e pontuações de risco de domínio"
67,jenkinsci/carbonetes-serverless-container-scanning-and-policy-compliance-plugin,https://github.com/jenkinsci/carbonetes-serverless-container-scanning-and-policy-compliance-plugin,Java,1,2,9,MIT License,2019,2021,N/A,"É uma ferramenta de análilse de vulnerabilidades de imagens de containers e política de conformidade, baseado no Carbonetes (https://carbonetes.com), sendo necessária credenciais para uso da mesma."
68,jenkinsci/redhat-codeready-dependency-analysis-plugin,https://github.com/jenkinsci/redhat-codeready-dependency-analysis-plugin,Java,7,2,0,Apache-2.0 License,2021,2021,N/A,É um plugin para o Jenkins que realziaza análise de dependências e vulnerabilidades
69,Jhanvi12/ReactVul,https://github.com/Jhanvi12/ReactVul,Javascript,0,1,0,N/A,2021,2021,N/A,É um código deliberadamente vulnerável do React a ser verificado pelo Semgrep
70,JigneshRana/PHP-Vulnerability-Scanner,https://github.com/JigneshRana/PHP-Vulnerability-Scanner,Python,0,2,0,N/A,2021,2021,N/A,"É uma buscador de vulnerabilidades em código PHP, desenvolvido em Python"
71,jonrau1/CodeArtifactVulnScanner,https://github.com/jonrau1/CodeArtifactVulnScanner,Python,4,3,6,GPL-3.0 License,2020,2021,CVE NVD,É uma aplicação de teste estático de segurança (SAST) para encontrar e eradicar vulnerabilidades em pacotes de software armazenados na AWS CodeArtifact
72,Kairos-T/Cloud-Security-Source-Codes,https://github.com/Kairos-T/Cloud-Security-Source-Codes,Python,0,3,8,N/A,2023,2023,N/A,É um exemplode código Python para gerenciamento de segurança do AWS Security
73,KamilDogo/IPv4Scanner-POC,https://github.com/KamilDogo/IPv4Scanner-POC,Python,1,1,0,N/A,2023,2023,N/A,É um programa para executa um port scan em todos os endereços de rede IP e automaticamente download um código para uma PoC do código fonte associado com a vulnerabilidade existente
74,kevjin/vulnerability_tool,https://github.com/kevjin/vulnerability_tool,Python,0,2,0,MIT License,2019,2019,N/A,É uma ferrametna de análise de vulnerablidade para qualquer repositório de código
75,kishanchaitanya/Security-Vulnerability-Scanner,https://github.com/kishanchaitanya/Security-Vulnerability-Scanner,HTML,6,2,11,N/A,2014,2014,N/A,"É uma ferramenta de busca de vulnerabilidades em sites, infromados por URL"
76,lijiejie/log4j2_vul_local_scanner,https://github.com/lijiejie/log4j2_vul_local_scanner,Python,13,6,86,N/A,2021,2021,CVE-2021-45046,"É uma ferramnta para escanear todos os processos Java executando, se são afetados pelo CVE de vulnerabilidade do loj4j2"
77,lildwagz/CRUTZER,https://github.com/lildwagz/CRUTZER,Perl,1,2,2,N/A,2019,2019,N/A,"É uma ferramenta para busca de vulnerabilidades no Drupal, que pode ser usado para execução remota de código"
78,limfuecoj14/AchillesCheck,https://github.com/limfuecoj14/AchillesCheck,Python,0,1,0,N/A,2020,2020,N/A,É um projeto para checar URLs por vulnerabilidades
79,LINCHENMUM/SQLInject,https://github.com/LINCHENMUM/SQLInject,C#,0,1,0,N/A,2023,2023,N/A,É uma árvore abstrata para escaneamento de código C#
80,linkp2p/WPS-PIN,https://github.com/linkp2p/WPS-PIN,Shell Script,39,10,49,GPL-3.0 License,2012,2012,N/A,É um connjunto de script para verificarção de segurança de rede sem fio (WPS)
81,luafanti/source-code-scanning-and-analysis-action,https://github.com/luafanti/source-code-scanning-and-analysis-action,N/A,0,1,0,Apache-2.0 License,2022,2022,N/A,"É uma workflow responsável por lançar análise de código estático, aplicado a projetos que usam Gradle e Kotlin, com uso de Sonarqube, JaCoCo e Deterk"
82,Mahlaleka/Stevens-Web-Vulnerability-Scanner,https://github.com/Mahlaleka/Stevens-Web-Vulnerability-Scanner,Python,2,2,2,GPL-3.0 License,2022,2022,N/A,É uma escaner de vulnerabilidade web feito em Python para detectar XSS e SQL Injection
83,maidn511/FortifyStaticDemo,https://github.com/maidn511/FortifyStaticDemo,C#,0,1,0,N/A,2023,2023,N/A,É um repositório dedicado para hospedar todos os arquivos a serem escaneados usando Fortify Static Code Analyzer (SCA)
84,markes1977/WESSy-NET,https://github.com/markes1977/WESSy-NET,C#,0,1,0,GPL-3.0 License,2020,2021,N/A,"Web Endpoint Securety Scorecard (WESSy) é uma ferramnta para pequisa legalidade de criptografa e componentes e outras configurações de segurança de rede e repositórios, em C#/HTML"
85,markes1977/WESSy-Python,https://github.com/markes1977/WESSy-Python,Python,0,1,0,GPL-3.0 License,2020,2020,N/A,"Web Endpoint Securety Scorecard (WESSy) é uma ferramnta para pequisa legalidade de criptografa e componentes e outras configurações de segurança de rede e repositórios, em Python"
86,markfaust123/vigilant-fiesta,https://github.com/markfaust123/vigilant-fiesta,Python,0,1,1,N/A,2022,2022,N/A,"É uma ferramenta python para detecção de falhas de segurança em senhas e repositórios de código, usando regex"
87,mdxedia/Awsome-Cash,https://github.com/mdxedia/Awsome-Cash,N/A,-,-,-,-,-,-,-,Repositório vazio na data da pesquisa
88,mertCukadar/SecureShield-Fortifying-Your-Digital-Perimeter,https://github.com/mertCukadar/SecureShield-Fortifying-Your-Digital-Perimeter,C++,0,1,1,MIT License,2023,2023,N/A,É uma ferramenta desenvolvida para análise de vulnerabilidades associadas a um porta exposta
89,mgtracio/security-scanner,https://github.com/mgtracio/security-scanner,Go,0,1,0,MIT License,2022,2022,N/A,"É um escaner de vulnerabilidades para imagens de containers em registry's, configuraçẽos e senhas no código"
90,MiChaelinzo/NetworkScanner,https://github.com/MiChaelinzo/NetworkScanner,Python,0,2,1,GPL-3.0 License,2023,2023,N/A,É uma aplicação Python que faz análsie de seurança de rede
91,missfatpanda/php-vulnerability,https://github.com/missfatpanda/php-vulnerability,HTML,0,1,0,N/A,2023,2023,N/A,"É uma demo, sem conteúdo na data pesquisada"
92,motikan2010/GitHub-code-scanning-Test,https://github.com/motikan2010/GitHub-code-scanning-Test,Java,3,0,1,N/A,2020,2020,N/A,"É um buscador de vulnerabiliades de código do Gihub, implemantado em Java, que usa CodeQL"
93,MTES-MCT/codescanalerts-action,https://github.com/MTES-MCT/codescanalerts-action,Javascript,2,2,0,MIT License,2021,2022,N/A,É uma Github Action que faz escaneamento de potenciais vulnerabilidades de segurança em código e gera saída em formato JSON
94,MustafaBilgici/SucoshScanny,https://github.com/MustafaBilgici/SucoshScanny,Python,4,1,26,N/A,2023,2023,N/A,"Sucosh é um framework automatizado de escaneamento de vulnerabilidade em código fonte para Python e NodeJs, capaz de executar revisão de código no desenvolvimento de aplicações web ou processo de análise de código fonte"
95,mwalidshaarawi/VulnerabilityScannerCodeC,https://github.com/mwalidshaarawi/VulnerabilityScannerCodeC,C++,1,1,1,N/A,2020,2020,N/A,É uma feramenta para análise de código fonte C
96,nanotechz9l/Source-code-analyzer,https://github.com/nanotechz9l/Source-code-analyzer,Ruby,9,3,9,N/A,2013,2014,N/A,É uma ferramenta para escanear código C/C++ por vulnerabilidades conhecidas e uso de funções perigosas
97,NashTech-Labs/Nikto,https://github.com/NashTech-Labs/Nikto,Shell Script,0,5,0,N/A,2023,2023,N/A,É uma ferramenta CLI para escanear servidores web por arquivos perigosos/CGIs e outros
98,nasiruddinml/sonar-scan-action,https://github.com/nasiruddinml/sonar-scan-action,Dockerfile,0,1,0,N/A,2021,2021,N/A,"É um exemplo de integração do SonarQube com o Github para automatizar a análise de codigo para detectar bugs, vulnerabilidades e código ruins"
99,Nate0634034090/nate158g-m-w-n-l-p-d-a-o-e,https://github.com/Nate0634034090/nate158g-m-w-n-l-p-d-a-o-e,N/A,2,0,4,GPL-3.0 License,2021,2021,N/A,"Repositório possui apenas os arquivos Readme, LICENSE e .gitignore na data da pesquisa. ´?E uma ferramenta para exploração de segurança com uso do metasploit"
100,nedelcho-delchev-tues/code-auditor,https://github.com/nedelcho-delchev-tues/code-auditor,Java,0,1,0,MIT License,2023,2023,N/A,Uma plataforma para revisãod e código com escaneamento de vunerabilidade
101,nickolas-atreides/snyk-vulnerability-scan,https://github.com/nickolas-atreides/snyk-vulnerability-scan,N/A,-,-,-,-,-,-,-,Repositório possui o Readme e imagens de resultado de análise de vulnerabilidade usando SNYK.
102,ocoder/rips-scanner,https://github.com/robocoder/rips-scanner,PHP,84,21,288,GPL-3.0 License,2015,2021,N/A,RIPS é um analisador de código fonte estático para vulnerabilidades em scripts PHP
103,octodemo/code-scanning-demo-template,https://github.com/octodemo/code-scanning-demo-template,Javascript,4,0,1,N/A,2020,2020,N/A,É um repositório simples de vulnerabilidade em javascript para mostrar escaneamento de código ou revisão de dependências
104,oliverklee/pixy,https://github.com/oliverklee/pixy,Java,36,14,128,GLP V3 e V2,2012,2021,N/A,É um plugin para o Eclipse para rodar testes de software Java e PHP
105,parshuramreddysudda/Pronoxis,https://github.com/parshuramreddysudda/Pronoxis,CSS,1,2,4,N/A,2018,2020,N/A,É uma feramenta para análise de código fonte PHP
106,pasodoff/bad-apple,https://github.com/pasodoff/bad-apple,Java,1,1,0,GPL-3.0 License,2017,2017,N/A,É uma aplicação Java REST para testar senhas no código e escaneamento de vulnerabilidades 
107,pranavwange/auto-sec-scan-pipeline,https://github.com/pranavwange/auto-sec-scan-pipeline,N/A,-,-,-,-,-,-,-,Repositório possui apenas o Readme na data da pesquisa
108,Privado-Inc/privado,https://github.com/Privado-Inc/privado,Dockerfile,47,15,430,"GPL-3.0, GPL-3.0 licenses found",2022,2023,N/A,É uma ferramnta de análise de código estático para descobrir o fluxo de dados no código.
109,pumasecurity/puma-scan,https://github.com/pumasecurity/puma-scan,C#,85,36,429,MPL-2.0 License,2016,2022,N/A,"É uma ferramenta de verificação de código .NET, é associado ao Visual Studio para identificar as falhas de segurança"
110,pvtshdw/GitHub-AdvSecurity-Python,https://github.com/pvtshdw/GitHub-AdvSecurity-Python,Python,0,1,0,N/A,2021,2021,N/A,É uma aplicação web em Python para aprendizagem de características de escaneamento de código com Github Advanced Security 
111,quebic-source/ml-vulnerability-scanner,https://github.com/quebic-source/ml-vulnerability-scanner,Python,1,2,0,Apache-2.0 License,2018,2018,N/A,É um modelo de rede neural de convolução para prever tipos de vulnerabilidade em um dado código fonte
112,rchelu/snoopy-vulnerable-code-snippets,https://github.com/rchelu/snoopy-vulnerable-code-snippets,N/A,-,-,-,-,-,-,-,Repositório vazio na data da pesquisa
113,RIAEvangelist/is-my-node-supply-chain-secure,https://github.com/RIAEvangelist/is-my-node-supply-chain-secure,Javascript,0,4,4,MIT License,2022,2022,N/A,Escaneia o computador por módulos que são potenciais vulnerabilidades para suporta ataques em cadeia
114,riptho/Vulnerable-Node-Red-Scanner,https://github.com/riptho/Vulnerable-Node-Red-Scanner,Python,0,1,3,N/A,2023,2023,N/A,É uma ferramenta de exploração de segurança em servidores desprotegido node-red
115,salmonx/lua-scanner,https://github.com/salmonx/lua-scanner,N/A,0,2,1,MIT License,2019,2019,N/A,Repositório possui apenas o Readme na data da pesquisa
116,ScanRE/ScanRE,https://github.com/ScanRE/ScanRE,Javascript,1,2,24,GPL-3.0 License,2023,2023,N/A,É uma ferramenta de análise de código estático para detecção de vulnerabilidade e mitigação
117,security-code-scan/security-code-scan,https://github.com/security-code-scan/security-code-scan,C#,160,31,874,LGPL-3.0 License,2017,2022,N/A,Detector depadrões de vulnerabilidades para C# e .Net
118,seecode-audit/vuln_project,https://github.com/seecode-audit/vuln_project,Python,2,1,0,Apache-2.0 License,2019,2018,N/A,É uma ferramena para teste funcional de teste de vulnerabilidade em código Java
119,Sfedfcv/redesigned-pancake,https://github.com/Sfedfcv/redesigned-pancake,N/A,-,-,-,-,-,-,-,Repositório vazio na data da pesquisa
120,shashimal/codepipeline-docker-vulnerability-scan,https://github.com/shashimal/codepipeline-docker-vulnerability-scan,Typescript,1,2,1,N/A,2022,2023,N/A,"É uma projeto para escanear vulnerabilidades em imagens docker usando WS Codepipeline, armazenadas em AWS ECR"
121,Shri-shti/Vulnerability_Scanner-,https://github.com/Shri-shti/Vulnerability_Scanner-,Python,0,1,1,MIT License,2023,2023,N/A,É um escaneador de vulnerabilidades de websites ou URLs
122,SKHTW/Source-Code-Vulnerability-Scanner,https://github.com/SKHTW/Source-Code-Vulnerability-Scanner,Shell Script,0,1,0,MIT License,2023,2023,N/A,É um bash script para identificar potenciais vulnerabilidades de segurança em código fonte
123,sofokliskarelis/XSS-Vuln_Scanner,https://github.com/sofokliskarelis/XSS-Vuln_Scanner,Python,0,1,0,N/A,2022,2022,N/A,É um verificador pentest para explorar vulnerabilidades em websites
124,ss56/php-vulnerability-patcher,https://github.com/ss56/php-vulnerability-patcher,PHP,0,2,0,[,2018,2018,N/A,É uma ferramenta de escaneameto de arquivo e sanitizador de vulnerabilidade
125,Staticballs/SourDough-Web-vulnerability-scanner,https://github.com/Staticballs/SourDough-Web-vulnerability-scanner,Python,0,1,1,Apache-2.0 License,2023,2023,N/A,É um website para teste de vulnerabilidade escrito em Python que checa HTML e cabeçalhos e faz vulnerabilidade de input
126,stoykovstoyk/sonar-scanner-ansible-deployment,https://github.com/stoykovstoyk/sonar-scanner-ansible-deployment,Shell Script,0,1,0,N/A,2023,2023,N/A,É um script do Sonar-scanner que pode ser usado para instalar o sonar-scanner em uma VM Vagrant e apontar para o servidor sonarqube para escanear códgo por vulnerabilidades
127,SumitMSunhala/StaticSecurityCodeScan.Net6.Examples,https://github.com/SumitMSunhala/StaticSecurityCodeScan.Net6.Examples,HTML,0,1,0,N/A,2023,2023,N/A,É um exemplo de projeto web com vulnerabilidade de segurança e a correção usando SecurityCodeScan.VS2019
128,TakiRahal/angular-sonarqube,https://github.com/TakiRahal/angular-sonarqube,HTML,2,1,2,N/A,2022,2022,N/A,"É uma ferramenta para escanear um projeto Angular (bugs, vulnerabilidades etc)"
129,TakiRahal/react-sonarqube,https://github.com/TakiRahal/react-sonarqube,Typescript,2,1,2,N/A,2022,2022,N/A,"É uma ferramenta para escanear um projeto ReactJS (bugs, vulnerabilidades etc)"
