Title,Quality Score
Ambush from All Sides: Understanding Security Threats in Open-Source Software CI/CD Pipelines,0.5
Applying and Researching DevOps: A Tertiary Study,2.0
"Embracing IaC Through the DevSecOps Philosophy: Concepts, Challenges, and a Reference Framework",3.5
Within-Project Defect Prediction of Infrastructure-as-Code Using Product and Process Metrics,2.5
Mitigating risks in software development through effectiverequirements engineering,0.0
{InferFix}: End-to-end program repair with {LLMs},3.0
Machine learning based approach to recommend {MITRE}{ATT\&CK} framework for software requirements and design specifications,3.0
Secure Software Development: Issues and Challenges,2.0
Implementing and Automating Security Scanning to a DevSecOps CI/CD Pipeline,4.5
Design and Practice of Security Architecture via DevSecOps Technology,3.5
"DevSecOps in Practice with VMware Tanzu: Build, run, and manage secure multi-cloud apps at scale on Kubernetes with the Tanzu portfolio",1.5
"Unifying Governance, Risk and Controls Framework Using SDLC, CICD and DevOps",1.5
Infrastructure as Code as a Foundational Technique for Increasing the DevOps Maturity Level: Two Case Studies,1.0
Analysis on the Use of Declarative and Pull-based Deployment Models on GitOps Using Argo CD,2.5
Self-Service Cybersecurity Monitoring as Enabler for DevSecOps,2.0
Konveyor Move2Kube: A Framework For Automated Application Replatforming,0.0
A solution on cloud and digital transformation for IT system using DevOps yundao platform,0.5
A Framework of DevSecOps for Software Development Teams,4.0
Automated Software Testing Starting from Static Analysis: Current State of the Art,4.5
Kubernetes Near Real-Time Monitoring and Secure Network Architectures,1.0
Static Analysis,2.5
A transformer-based GitHub Action for Vulnerability Detection,1.5
Generic SAST tool comparer,1.0
Guidelines on minimum standards for developer verification of software,2.0
Vulnerability exploration and understanding services,0.0
An Empirical Study on the Use of Static Analysis Tools in Open Source Embedded Software,2.0
Design and implementation of SFCI: A tool for security focused continuous integration,3.0
A Unified Framework for Automating Software Security Analysis in DevSecOps,4.0
Software Engineering Tools For Secure Application Development,3.5
Comparison and Evaluation on Static Application Security Testing (SAST) Tools for Java,3.5
Securing the Software Development Life Cycle,4.0
Towards Practical Cybersecurity Mapping of STRIDE and CWE - A Multi-perspective Approach,4.0
Software for Improve the Security of Kubernetes-based CI/CD Pipeline,3.5
