Formulário de avaliação de aplicações de análise de vulnerabilidade,,,,,,,,,,,
1ª PESQUISA: /code scanning AND vulnerability code scan,,,114,,,,,,,,
SEQ,NOME,URL,LINGUAGEM,FORKS,WATCHING,ESTRELAS,LICENÇA,PUBLICAÇÃO,ALTERAÇÃO,BANCO DE DADOS,RESUMO
65,luafanti/source-code-scanning-and-analysis-action,https://github.com/luafanti/source-code-scanning-and-analysis-action,N/A,0,1,0,Apache-2.0 License,2022,2022,N/A,"É uma workflow responsável por lançar análise de código estático, aplicado a projetos que usam Gradle e Kotlin, com uso de Sonarqube, JaCoCo e Deterk"
66,maidn511/FortifyStaticDemo,https://github.com/maidn511/FortifyStaticDemo,C#,0,1,0,N/A,2023,2023,N/A,É um repositório dedicado para hospedar todos os arquivos a serem escaneados usando Fortify Static Code Analyzer (SCA)
67,marcinguy/betterscan-ce,https://github.com/marcinguy/betterscan-ce,Python,77,16,534,LGPL 2.1,2021,2023,-,É uma ferramenta que usa muitas outras para análise SAST 
68,markes1977/WESSy-NET,https://github.com/markes1977/WESSy-NET,C#,0,1,0,GPL-3.0 License,2020,2021,N/A,"Web Endpoint Securety Scorecard (WESSy) é uma ferramnta para pequisa legalidade de criptografa e componentes e outras configurações de segurança de rede e repositórios, em C#/HTML"
69,markes1977/WESSy-Python,https://github.com/markes1977/WESSy-Python,Python,0,1,0,GPL-3.0 License,2020,2020,N/A,"Web Endpoint Securety Scorecard (WESSy) é uma ferramnta para pequisa legalidade de criptografa e componentes e outras configurações de segurança de rede e repositórios, em Python"
70,markfaust123/vigilant-fiesta,https://github.com/markfaust123/vigilant-fiesta,Python,0,1,1,N/A,2022,2022,N/A,"É uma ferramenta python para detecção de falhas de segurança em senhas e repositórios de código, usando regex"
71,mdxedia/Awsome-Cash,https://github.com/mdxedia/Awsome-Cash,N/A,-,-,-,-,-,-,-,Repositório vazio na data da pesquisa
72,mertCukadar/SecureShield-Fortifying-Your-Digital-Perimeter,https://github.com/mertCukadar/SecureShield-Fortifying-Your-Digital-Perimeter,C++,0,1,1,MIT License,2023,2023,N/A,É uma ferramenta desenvolvida para análise de vulnerabilidades associadas a um porta exposta
73,MiChaelinzo/NetworkScanner,https://github.com/MiChaelinzo/NetworkScanner,Python,0,2,1,GPL-3.0 License,2023,2023,N/A,É uma aplicação Python que faz análsie de seurança de rede
74,missfatpanda/php-vulnerability,https://github.com/missfatpanda/php-vulnerability,HTML,0,1,0,N/A,2023,2023,N/A,"É uma demo, sem conteúdo na data pesquisada"
75,motikan2010/GitHub-code-scanning-Test,https://github.com/motikan2010/GitHub-code-scanning-Test,Java,3,0,1,N/A,2020,2020,N/A,"É um buscador de vulnerabiliades de código do Gihub, implemantado em Java, que usa CodeQL"
76,MTES-MCT/codescanalerts-action,https://github.com/MTES-MCT/codescanalerts-action,Javascript,2,2,0,MIT License,2021,2022,N/A,É uma Github Action que faz escaneamento de potenciais vulnerabilidades de segurança em código e gera saída em formato JSON
77,nanotechz9l/Source-code-analyzer,https://github.com/nanotechz9l/Source-code-analyzer,Ruby,9,3,9,N/A,2013,2014,N/A,É uma ferramenta para escanear código C/C++ por vulnerabilidades conhecidas e uso de funções perigosas
78,NashTech-Labs/Nikto,https://github.com/NashTech-Labs/Nikto,Shell Script,0,5,0,N/A,2023,2023,N/A,É uma ferramenta CLI para escanear servidores web por arquivos perigosos/CGIs e outros
79,Nate0634034090/nate158g-m-w-n-l-p-d-a-o-e,https://github.com/Nate0634034090/nate158g-m-w-n-l-p-d-a-o-e,N/A,2,0,4,GPL-3.0 License,2021,2021,N/A,"Repositório possui apenas os arquivos Readme, LICENSE e .gitignore na data da pesquisa. ´?E uma ferramenta para exploração de segurança com uso do metasploit"
80,nedelcho-delchev-tues/code-auditor,https://github.com/nedelcho-delchev-tues/code-auditor,Java,0,1,0,MIT License,2023,2023,N/A,Uma plataforma para revisãod e código com escaneamento de vunerabilidade
81,nickolas-atreides/snyk-vulnerability-scan,https://github.com/nickolas-atreides/snyk-vulnerability-scan,N/A,-,-,-,-,-,-,-,Repositório possui o Readme e imagens de resultado de análise de vulnerabilidade usando SNYK.
82,octodemo/code-scanning-demo-template,https://github.com/octodemo/code-scanning-demo-template,Javascript,4,0,1,N/A,2020,2020,N/A,É um repositório simples de vulnerabilidade em javascript para mostrar escaneamento de código ou revisão de dependências
83,oliverklee/pixy,https://github.com/oliverklee/pixy,Java,36,14,128,GLP V3 e V2,2012,2021,N/A,É um plugin para o Eclipse para rodar testes de software Java e PHP
84,parshuramreddysudda/Pronoxis,https://github.com/parshuramreddysudda/Pronoxis,CSS,1,2,4,N/A,2018,2020,N/A,É uma feramenta para análise de código fonte PHP
85,pasodoff/bad-apple,https://github.com/pasodoff/bad-apple,Java,1,1,0,GPL-3.0 License,2017,2017,N/A,É uma aplicação Java REST para testar senhas no código e escaneamento de vulnerabilidades 
86,pranavwange/auto-sec-scan-pipeline,https://github.com/pranavwange/auto-sec-scan-pipeline,N/A,-,-,-,-,-,-,-,Repositório possui apenas o Readme na data da pesquisa
87,Privado-Inc/privado,https://github.com/Privado-Inc/privado,Dockerfile,47,15,430,"GPL-3.0, GPL-3.0 licenses found",2022,2023,N/A,É uma ferramnta de análise de código estático para descobrir o fluxo de dados no código.
88,pumasecurity/puma-scan,https://github.com/pumasecurity/puma-scan,C#,85,36,429,MPL-2.0 License,2016,2022,N/A,"É uma ferramenta de verificação de código .NET, é associado ao Visual Studio para identificar as falhas de segurança"
89,pvtshdw/GitHub-AdvSecurity-Python,https://github.com/pvtshdw/GitHub-AdvSecurity-Python,Python,0,1,0,N/A,2021,2021,N/A,É uma aplicação web em Python para aprendizagem de características de escaneamento de código com Github Advanced Security 
90,rchelu/snoopy-vulnerable-code-snippets,https://github.com/rchelu/snoopy-vulnerable-code-snippets,N/A,-,-,-,-,-,-,-,Repositório vazio na data da pesquisa
91,RIAEvangelist/is-my-node-supply-chain-secure,https://github.com/RIAEvangelist/is-my-node-supply-chain-secure,Javascript,0,4,4,MIT License,2022,2022,N/A,Escaneia o computador por módulos que são potenciais vulnerabilidades para suporta ataques em cadeia
92,seecode-audit/vuln_project,https://github.com/seecode-audit/vuln_project,Python,2,1,0,Apache-2.0 License,2019,2018,N/A,É uma ferramena para teste funcional de teste de vulnerabilidade em código Java
93,Sfedfcv/redesigned-pancake,https://github.com/Sfedfcv/redesigned-pancake,N/A,-,-,-,-,-,-,-,Repositório vazio na data da pesquisa
94,SKHTW/Source-Code-Vulnerability-Scanner,https://github.com/SKHTW/Source-Code-Vulnerability-Scanner,Shell Script,0,1,0,MIT License,2023,2023,N/A,É um bash script para identificar potenciais vulnerabilidades de segurança em código fonte
95,ss56/php-vulnerability-patcher,https://github.com/ss56/php-vulnerability-patcher,PHP,0,2,0,N/A,2018,2018,N/A,É uma ferramenta de escaneameto de arquivo e sanitizador de vulnerabilidade
96,stoykovstoyk/sonar-scanner-ansible-deployment,https://github.com/stoykovstoyk/sonar-scanner-ansible-deployment,Shell Script,0,1,0,N/A,2023,2023,N/A,É um script do Sonar-scanner que pode ser usado para instalar o sonar-scanner em uma VM Vagrant e apontar para o servidor sonarqube para escanear códgo por vulnerabilidades
97,stoykovstoyk/sonarqube-ansible-deployment,https://github.com/stoykovstoyk/sonarqube-ansible-deployment,Shell Script,-,-,-,-,-,-,-,Repetido com o item 81
98,TakiRahal/angular-sonarqube,https://github.com/TakiRahal/angular-sonarqube,HTML,2,1,2,N/A,2022,2022,N/A,"É uma ferramenta para escanear um projeto Angular (bugs, vulnerabilidades etc)"
99,TakiRahal/react-sonarqube,https://github.com/TakiRahal/react-sonarqube,Typescript,2,1,2,N/A,2022,2022,N/A,"É uma ferramenta para escanear um projeto ReactJS (bugs, vulnerabilidades etc)"
100,TaLevy94/security-score-cli,https://github.com/TaLevy94/security-score-cli,N/A,-,-,-,-,-,-,-,Repositório possui o Readme e o arquivo gitignore na data da pesquisa
101,TartarusLabs/phpscan,https://github.com/TartarusLabs/phpscan,Python,0,0,3,GPL-3.0 License,2018,2022,N/A,É SCript para escanear atravś de um projeto PHP e etiquetar funções que são de interesse no quesito vulnerabilidades de segurança
102,Technomux/hackerpro,https://github.com/Technomux/hackerpro,N/A,16,28,144,N/A,2019,2019,N/A,É uma ferramenta All in one para linux e Android. Sem documentação
103,tenable/accurics-orb,https://github.com/tenable/accurics-orb,Shell Script,4,4,1,Apache-2.0 License,2020,2020,N/A,"É uma ferramenta que faz escaneamento em IaC, via pipeline da aplicação Accurics (https://accurics.com) off line na data da pesquisa)"
104,testcomputer/python-scripts,https://github.com/testcomputer/python-scripts,Python,0,2,2,N/A,2023,2022,N/A,É uma material para treinamento com código de exemplo usando Python para tarefas de segurança de rede
105,theahmadov/VOID,https://github.com/theahmadov/VOID,Python,4,4,20,N/A,2022,2022,N/A,É uma ferramenta de escaneamento de segurança e hacking e teste de penetração
106,tmtmtoo/vulnerability-scan-example,https://github.com/tmtmtoo/vulnerability-scan-example,Go,0,2,0,MIT License,2020,2020,N/A,É uma ferramenta para escaneamento de código e container anchorado no CodeQL
107,TolgaTD/TargetIPListCreator,https://github.com/TolgaTD/TargetIPListCreator,Python,0,1,0,N/A,2023,2023,N/A,É uma ferramenta para identificar erros e vulnerabilidades de segurança que busca alvos na internet usando a API BinaryEdge
108,tuanndd/ansible-code-scanning,https://github.com/tuanndd/ansible-code-scanning,Shell Script,0,1,1,N/A,2022,2022,CVE e CWE,É uma configuração de role Ansible para ferramenta SAST que executa código de escaneamento no servidor
109,uvhw/Bitcoin-Foundation,https://github.com/uvhw/Bitcoin-Foundation,C++,5,1,4,MIT License,2021,2022,N/A,É uma versão de ferramenta de caixa eletrônico ponto-a-ponto que permite pagamentos on-line
110,vladvasyuk/security-test2,https://github.com/vladvasyuk/security-test2,Python,-,-,-,-,-,-,-,Repositório possui apenas o Readme na data da pesquisa
111,vulnerable-demo-app/demo-code-scanning,https://github.com/vulnerable-demo-app/demo-code-scanning,Javascript,0,1,0,N/A,2019,2019,N/A,"É um demo de escaner de vulnerabilidade usando LGTM, no caso, uma injeção de código em um aquivo zip"
112,waqaskhan137/beryl,https://github.com/waqaskhan137/beryl,Java,0,2,0,GPL-3.0 License,2022,2022,N/A,É um projeto opensource para escaneamento de vulnerabilidades e dependências em código fonte
113,xlab-si/iac-scan-runner,https://github.com/xlab-si/iac-scan-runner,Python,0,4,10,Apache-2.0 License,2021,2023,N/A,É um serviço API REST para escanear infraestrutura como código (IAC) sobre vulnerabilidades de segurança
114,yaph/domxssscanner,https://github.com/yaph/domxssscanner,HTML,52,12,188,N/A,2011,2018,-,É um escaner online que facilita a revisão de código de páginas web e código Javascript para potenciais vulnerabilitadades de segurança Xss baseada em DOM
